#Rank	Path	LengthInKmers	Flows
0	864000000	281	3
0	866000000	422	3
0	870000000	197	3
0	876000000	320	3
0	877000000	206	3
0	878000000	187	3
0	879000000	363	3
1	733000001	9124	3
1	734000001	923	3
0	886000000	948	3
1	735000001	3512	3
0	887000000	791	3
1	741000001	1912	3
0	888000000	2900	3
1	743000001	1650	3
0	889000000	229	3
1	746000001	774	3
1	750000001	447	3
0	893000000	860	3
0	894000000	332	3
0	897000000	172	3
0	899000000	470	3
0	901000000	181	3
0	903000000	241	3
0	904000000	183	3
1	752000001	1792	3
0	907000000	188	3
0	908000000	277	3
1	757000001	752	3
0	911000000	724	3
0	915000000	169	3
0	917000000	404	3
0	923000000	343	3
1	761000001	1562	3
0	927000000	229	2
1	763000001	362	3
1	766000001	551	3
0	928000000	743	3
1	767000001	692	3
0	929000000	461	3
0	931000000	3100	3
1	770000001	3484	3
0	933000000	351	3
1	774000001	465	3
1	776000001	651	3
0	934000000	1149	3
1	777000001	966	3
0	936000000	425	3
0	937000000	152	3
0	940000000	1041	3
1	778000001	4386	3
0	941000000	1712	3
0	942000000	156	3
0	943000000	152	3
0	944000000	289	3
1	780000001	897	3
0	946000000	184	3
1	782000001	350	3
0	948000000	130	3
0	949000000	141	3
0	950000000	437	3
1	783000001	717	3
0	955000000	319	3
1	784000001	1073	3
0	959000000	121	3
0	961000000	122	3
0	962000000	340	3
0	967000000	127	3
0	970000000	112	2
0	971000000	235	3
0	972000000	111	2
0	973000000	159	3
0	974000000	407	3
1	785000001	1738	3
0	975000000	235	3
0	976000000	134	3
0	979000000	264	3
1	787000001	1211	3
1	790000001	383	3
0	981000000	1177	3
1	792000001	585	3
0	982000000	708	3
1	797000001	503	3
1	799000001	393	3
0	983000000	379	3
0	985000000	106	2
0	986000000	167	2
0	987000000	106	2
1	801000001	436	3
0	988000000	186	3
1	802000001	563	3
0	990000000	197	3
0	991000000	106	3
0	995000000	99	2
0	997000000	98	2
0	998000000	102	3
0	999000000	155	3
0	1004000000	149	3
1	805000001	1452	3
0	1005000000	146	3
0	1007000000	320	3
1	807000001	597	3
0	1009000000	168	3
1	810000001	890	3
1	812000001	672	3
1	813000001	813	3
1	817000001	281	3
1	825000001	1158	3
1	830000001	313	3
1	833000001	1517	3
1	834000001	733	3
1	836000001	1028	3
1	837000001	312	3
1	838000001	1512	4
1	839000001	1751	3
1	842000001	469	3
1	844000001	636	3
1	845000001	328	3
1	849000001	1842	3
1	850000001	262	3
1	852000001	233	3
1	855000001	631	3
1	856000001	319	3
1	857000001	319	3
1	859000001	642	3
1	860000001	1155	3
1	862000001	209	3
1	865000001	3382	3
1	867000001	1321	3
1	873000001	196	2
1	874000001	198	3
1	879000001	191	3
1	881000001	307	3
1	884000001	942	3
1	886000001	183	3
1	890000001	423	3
1	892000001	405	3
1	895000001	378	3
1	897000001	172	3
1	899000001	365	3
1	900000001	589	3
1	901000001	240	3
1	904000001	688	3
1	907000001	300	3
1	909000001	162	3
1	911000001	176	3
1	912000001	225	3
1	917000001	155	3
1	918000001	213	3
1	923000001	152	3
1	924000001	233	3
1	926000001	202	3
1	927000001	168	3
1	930000001	415	3
1	935000001	480	3
1	936000001	365	3
1	938000001	1838	3
1	945000001	131	2
1	949000001	197	3
1	950000001	161	3
1	951000001	248	3
1	954000001	251	3
1	956000001	251	3
1	960000001	1189	3
1	962000001	581	3
1	965000001	205	3
1	966000001	376	3
1	967000001	214	3
1	968000001	118	2
1	969000001	121	3
1	973000001	313	3
1	974000001	376	3
1	978000001	132	3
1	979000001	109	2
1	982000001	107	2
1	983000001	149	3
1	986000001	105	2
1	987000001	182	3
1	988000001	121	3
1	994000001	371	3
1	999000001	107	3
1	1002000001	229	3
1	1008000001	662	3
1	1009000001	95	2
1	1011000001	1575	4
1	1015000001	300	3
1	1016000001	95	3
