ref_genome	num_genomes_sharing	genome_codes_not_sharing	num_shared_positions
1	13	,10,11,14,15,18,	7023
1	13	,2,3,13,16,17,	200
1	13	,8,15,16,17,18,	10
1	13	,3,6,10,11,12,	37
1	13	,7,8,9,12,14,	22
1	13	,2,3,10,11,14,	307
1	13	,2,3,6,7,13,	238
1	13	,2,8,12,16,17,	13
1	13	,2,7,8,12,14,	2
1	13	,2,13,14,15,18,	4
1	13	,2,8,12,15,18,	591
1	13	,2,3,4,6,7,	93
1	13	,2,4,5,6,7,	7143
1	13	,2,10,11,13,14,	7
1	13	,2,12,14,16,17,	983
1	13	,2,5,6,7,8,	1
1	13	,3,6,7,10,11,	534
1	13	,2,4,14,15,18,	264
1	13	,2,10,11,15,18,	29706
1	13	,2,12,13,15,18,	1
1	13	,2,3,9,13,14,	2573
1	13	,2,3,13,15,18,	64
1	13	,2,9,10,11,12,	67
1	13	,2,3,10,11,13,	471
1	13	,2,3,8,12,13,	11939
1	13	,2,12,14,15,18,	559
1	9	,2,3,9,12,13,15,16,17,18,	1
1	9	,2,3,4,5,6,7,9,12,13,	529
1	9	,2,7,9,10,11,12,14,15,18,	62
1	9	,3,4,5,6,7,9,13,16,17,	43
1	9	,2,6,7,8,9,10,11,15,18,	188
1	9	,2,9,10,11,14,15,16,17,18,	365
1	9	,2,6,7,8,10,11,14,15,18,	1
1	9	,2,8,9,12,14,15,16,17,18,	118
1	9	,2,3,5,6,7,10,11,13,14,	107
1	9	,2,4,9,10,11,13,14,15,18,	115
1	9	,2,4,5,6,7,10,11,15,18,	78
1	9	,2,3,10,11,12,13,14,15,18,	65
1	9	,2,3,6,10,11,12,13,15,18,	5
1	9	,2,10,11,12,14,15,16,17,18,	1650
1	9	,2,4,7,8,10,11,14,15,18,	1
1	9	,2,8,9,10,11,15,16,17,18,	1
1	9	,2,3,8,13,14,15,16,17,18,	30
1	9	,2,4,5,6,7,15,16,17,18,	3
1	9	,2,3,4,6,7,11,12,13,18,	5
1	9	,3,5,6,7,8,9,12,13,14,	5665
1	9	,4,5,6,7,8,10,11,12,14,	195
1	9	,2,4,5,6,7,8,9,12,14,	3
1	9	,3,5,6,7,9,12,13,14,17,	8
1	9	,2,8,10,11,14,15,16,17,18,	3588
1	9	,2,3,8,9,12,13,14,16,17,	101
1	9	,2,4,5,6,7,8,12,16,17,	255
1	9	,2,4,8,9,10,11,14,15,18,	99
1	9	,4,5,6,7,8,10,11,15,18,	2
1	9	,3,4,5,6,7,8,9,13,14,	13
1	9	,4,5,6,7,8,9,12,16,17,	13
1	9	,3,9,10,11,12,13,14,15,18,	822
1	9	,2,8,9,10,11,12,14,15,18,	95
1	9	,2,4,5,6,7,9,10,11,14,	4985
1	14	,2,12,15,18,	40
1	14	,2,8,9,12,	5411
1	14	,10,11,15,18,	16505
1	14	,8,13,16,17,	3
1	14	,2,6,7,8,	649
1	14	,4,8,10,11,	1
1	14	,2,6,7,12,	221
1	14	,2,12,16,17,	2
1	14	,2,3,6,7,	742
1	14	,3,10,11,12,	66
1	14	,2,3,10,11,	1
1	14	,2,8,12,14,	2
1	14	,2,4,6,7,	8
1	14	,2,3,13,14,	5
1	14	,2,4,13,14,	252
1	14	,4,5,6,7,	16
1	14	,2,9,13,14,	112
1	14	,2,4,5,6,	20
1	14	,6,7,10,11,	38
1	14	,8,12,16,17,	422
1	14	,3,10,11,13,	1248
1	14	,2,4,8,9,	3
1	14	,7,14,15,18,	16
1	14	,2,14,15,18,	9102
1	14	,2,9,15,18,	2
1	14	,2,14,16,17,	6230
1	14	,2,10,11,14,	1859
1	14	,2,4,5,14,	70
1	14	,12,14,15,18,	5
1	14	,8,12,15,18,	23
1	14	,2,4,16,17,	121
1	14	,2,3,15,18,	680
1	14	,3,6,7,13,	101
1	14	,9,10,11,14,	47
1	14	,2,3,9,13,	5727
1	14	,2,4,15,18,	15
1	14	,2,11,12,18,	1
1	14	,2,3,12,13,	2
1	14	,3,8,12,13,	1028
1	14	,2,13,15,18,	147
1	14	,2,8,16,17,	160
1	18	,0,	3410188
2	7	,3,4,6,7,9,13,14,15,16,17,18,	1069
2	7	,1,5,6,7,8,9,10,11,13,15,18,	20
2	7	,1,9,10,11,12,13,14,15,16,17,18,	30
2	7	,1,4,5,6,7,8,10,11,12,15,18,	54
2	7	,3,4,7,9,10,11,12,13,14,15,18,	2
2	7	,1,3,8,10,11,12,13,14,15,16,18,	311
2	7	,3,5,6,7,8,9,10,11,12,13,14,	503
2	7	,1,4,5,6,7,9,10,11,12,15,18,	4
2	7	,3,4,5,6,7,9,12,13,14,16,17,	1
2	7	,4,5,6,7,9,10,11,12,14,15,18,	1097
2	7	,1,3,8,9,12,13,14,15,16,17,18,	40
2	7	,4,5,6,7,8,9,10,11,12,16,17,	1
2	7	,1,3,4,5,6,7,8,13,14,15,18,	1
2	7	,4,5,6,7,9,10,11,15,16,17,18,	3
